@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2018/01/11 19:07:24:458',1,0,0,0,0,0,0.69,0,0,0,0
2,'2018/01/11 19:07:24:479',1,0,0,0,0,0,0.69,0,0,0,0
3,'2018/01/11 19:07:24:498',1,0,0,0,0,0,0.69,0,0,0,0
4,'2018/01/11 19:07:24:518',1,0,0,0,0,0,0.69,0,0,0,0
5,'2018/01/11 19:07:24:538',1,0,0,0,0,0,0.69,0,0,0,0
6,'2018/01/11 19:07:24:558',1,0,0,0,0,0,0.69,0,0,0,0
7,'2018/01/11 19:07:24:578',1,0,0,0,0,0,0.69,0,0,0,0
8,'2018/01/11 19:07:24:598',1,0,0,0,0,0,0.69,0,0,0,0
9,'2018/01/11 19:07:24:618',1,0,0,0,0,0,0.69,0,0,0,0
10,'2018/01/11 19:07:24:638',1,0,0,0,0,0,0.69,0,0,0,0
11,'2018/01/11 19:07:24:658',1,0,0,0,0,0,0.69,0,0,0,0
12,'2018/01/11 19:07:24:678',1,0,0,0,0,0,0.69,0,0,0,0
13,'2018/01/11 19:07:24:698',1,0,0,0,0,0,0.69,0,0,0,0
14,'2018/01/11 19:07:24:718',1,0,0,0,0,0,0.69,0,0,0,0
15,'2018/01/11 19:07:24:738',1,0,0,0,0,0,0.69,0,0,0,0
16,'2018/01/11 19:07:24:758',1,0,0,0,0,0,0.69,0,0,0,0
17,'2018/01/11 19:07:24:778',1,0,0,0,0,0,0.69,0,0,0,0
18,'2018/01/11 19:07:24:798',1,0,0,0,0,0,0.69,0,0,0,0
19,'2018/01/11 19:07:24:818',1,0,0,0,0,0,0.69,0,0,0,0
20,'2018/01/11 19:07:24:838',1,0,0,0,0,0,0.69,0,0,0,0
21,'2018/01/11 19:07:24:858',1,0,0,0,0,0,0.69,0,0,0,0
22,'2018/01/11 19:07:24:879',1,0,0,0,0,0,0.69,0,0,0,0
23,'2018/01/11 19:07:24:898',1,0,0,0,0,0,0.69,0,0,0,0
24,'2018/01/11 19:07:24:918',1,0,0,0,0,0,0.69,0,0,0,0
25,'2018/01/11 19:07:24:938',1,0,0,0,0,0,0.69,0,0,0,0
26,'2018/01/11 19:07:24:958',1,0,0,0,0,0,0.69,0,0,0,0
27,'2018/01/11 19:07:24:978',1,0,0,0,0,0,0.69,0,0,0,0
28,'2018/01/11 19:07:24:998',1,0,0,0,0,0,0.69,0,0,0,0
29,'2018/01/11 19:07:25:018',1,0,0,0,0,0,0.69,0,0,0,0
30,'2018/01/11 19:07:25:038',1,0,0,0,0,0,0.69,0,0,0,0
31,'2018/01/11 19:07:25:059',1,0,0,0,0,0,0.69,0,0,0,0
32,'2018/01/11 19:07:25:078',1,0,0,0,0,0,0.69,0,0,0,0
33,'2018/01/11 19:07:25:098',1,0,0,0,0,0,0.69,0,0,0,0
34,'2018/01/11 19:07:25:118',1,0,0,0,0,0,0.69,0,0,0,0
35,'2018/01/11 19:07:25:138',1,0,0,0,0,0,0.69,0,0,0,0
36,'2018/01/11 19:07:25:158',1,0,0,0,0,0,0.69,0,0,0,0
37,'2018/01/11 19:07:25:178',1,0,0,0,0,0,0.69,0,0,0,0
38,'2018/01/11 19:07:25:198',1,0,0,0,0,0,0.69,0,0,0,0
39,'2018/01/11 19:07:25:218',1,0,0,0,0,0,0.69,0,0,0,0
40,'2018/01/11 19:07:25:239',1,0,0,0,0,0,0.69,0,0,0,0
41,'2018/01/11 19:07:25:259',1,0,0,0,0,0,0.69,0,0,0,0
42,'2018/01/11 19:07:25:279',1,0,0,0,0,0,0.69,0,0,0,0
43,'2018/01/11 19:07:25:299',1,0,0,0,0,0,0.69,0,0,0,0
44,'2018/01/11 19:07:27:278',2,0,0,0,0,0,0,0.59,0,0,0
